"UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "# of  Entries" "#  Absent" "#  SNA" "#  Assessed" "# Not  Achieved" "#  Scholarship" "#  Outstanding"
"38" "Decile 1-3" "All Subjects" "Biology" "NZ European" "Unknown" 0 0 0 0 0 0 0
"39" "Decile 1-3" "All Subjects" "Biology" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"40" "Decile 1-3" "All Subjects" "Biology" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"41" "Decile 1-3" "All Subjects" "Biology" "Asian" "Male" 5 2 0 3 3 0 0
"42" "Decile 1-3" "All Subjects" "Biology" "Asian" "Female" 13 1 1 11 10 1 0
"43" "Decile 1-3" "All Subjects" "Biology" "Other/Unspecified Ethnicity" "Male" 1 0 0 1 1 0 0
"44" "Decile 1-3" "All Subjects" "Biology" "Other/Unspecified Ethnicity" "Female" 1 1 0 0 0 0 0
"45" "Decile 1-3" "All Subjects" "Chemistry" "NZ Maori" "Male" 2 0 0 2 2 0 0
"46" "Decile 1-3" "All Subjects" "Chemistry" "NZ Maori" "Female" 4 3 0 1 1 0 0
"47" "Decile 1-3" "All Subjects" "Chemistry" "NZ European" "Male" 15 4 0 11 8 2 1
"48" "Decile 1-3" "All Subjects" "Chemistry" "NZ European" "Female" 11 1 0 10 9 1 0
"49" "Decile 1-3" "All Subjects" "Chemistry" "NZ European" "Unknown" 0 0 0 0 0 0 0
"50" "Decile 1-3" "All Subjects" "Chemistry" "Pasifika Peoples" "Male" 1 0 0 1 1 0 0
"51" "Decile 1-3" "All Subjects" "Chemistry" "Pasifika Peoples" "Female" 4 0 0 4 4 0 0
"52" "Decile 1-3" "All Subjects" "Chemistry" "Asian" "Male" 11 3 0 8 7 1 0
"53" "Decile 1-3" "All Subjects" "Chemistry" "Asian" "Female" 10 0 0 10 10 0 0
"54" "Decile 1-3" "All Subjects" "Chemistry" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"55" "Decile 1-3" "All Subjects" "Chemistry" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"56" "Decile 1-3" "All Subjects" "Chinese" "NZ Maori" "Male" 0 0 0 0 0 0 0
"57" "Decile 1-3" "All Subjects" "Chinese" "NZ Maori" "Female" 0 0 0 0 0 0 0
"58" "Decile 1-3" "All Subjects" "Chinese" "NZ European" "Male" 0 0 0 0 0 0 0
"59" "Decile 1-3" "All Subjects" "Chinese" "NZ European" "Female" 0 0 0 0 0 0 0
"60" "Decile 1-3" "All Subjects" "Chinese" "NZ European" "Unknown" 0 0 0 0 0 0 0
"61" "Decile 1-3" "All Subjects" "Chinese" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"62" "Decile 1-3" "All Subjects" "Chinese" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"63" "Decile 1-3" "All Subjects" "Chinese" "Asian" "Male" 0 0 0 0 0 0 0
"64" "Decile 1-3" "All Subjects" "Chinese" "Asian" "Female" 0 0 0 0 0 0 0
"65" "Decile 1-3" "All Subjects" "Chinese" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"66" "Decile 1-3" "All Subjects" "Chinese" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"67" "Decile 1-3" "All Subjects" "Classical Studies" "NZ Maori" "Male" 1 0 0 1 1 0 0
"68" "Decile 1-3" "All Subjects" "Classical Studies" "NZ Maori" "Female" 2 0 0 2 1 1 0
"69" "Decile 1-3" "All Subjects" "Classical Studies" "NZ European" "Male" 1 0 1 0 0 0 0
"70" "Decile 1-3" "All Subjects" "Classical Studies" "NZ European" "Female" 8 2 0 6 4 1 1
"71" "Decile 1-3" "All Subjects" "Classical Studies" "NZ European" "Unknown" 0 0 0 0 0 0 0
"72" "Decile 1-3" "All Subjects" "Classical Studies" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"73" "Decile 1-3" "All Subjects" "Classical Studies" "Pasifika Peoples" "Female" 3 0 0 3 3 0 0
"74" "Decile 1-3" "All Subjects" "Classical Studies" "Asian" "Male" 0 0 0 0 0 0 0
"75" "Decile 1-3" "All Subjects" "Classical Studies" "Asian" "Female" 2 0 0 2 2 0 0
"76" "Decile 1-3" "All Subjects" "Classical Studies" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"77" "Decile 1-3" "All Subjects" "Classical Studies" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"78" "Decile 1-3" "All Subjects" "Dance" "NZ Maori" "Male" 1 1 0 0 0 0 0
"79" "Decile 1-3" "All Subjects" "Dance" "NZ Maori" "Female" 0 0 0 0 0 0 0
"80" "Decile 1-3" "All Subjects" "Dance" "NZ European" "Male" 0 0 0 0 0 0 0
"81" "Decile 1-3" "All Subjects" "Dance" "NZ European" "Female" 5 1 0 4 4 0 0
"82" "Decile 1-3" "All Subjects" "Dance" "NZ European" "Unknown" 0 0 0 0 0 0 0
"83" "Decile 1-3" "All Subjects" "Dance" "Pasifika Peoples" "Male" 1 0 0 1 1 0 0
"84" "Decile 1-3" "All Subjects" "Dance" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"85" "Decile 1-3" "All Subjects" "Dance" "Asian" "Male" 0 0 0 0 0 0 0
"86" "Decile 1-3" "All Subjects" "Dance" "Asian" "Female" 0 0 0 0 0 0 0
"87" "Decile 1-3" "All Subjects" "Dance" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"88" "Decile 1-3" "All Subjects" "Dance" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"89" "Decile 1-3" "All Subjects" "Design and Visual Communication" "NZ Maori" "Male" 1 1 0 0 0 0 0
"90" "Decile 1-3" "All Subjects" "Design and Visual Communication" "NZ Maori" "Female" 5 4 0 1 1 0 0
"91" "Decile 1-3" "All Subjects" "Design and Visual Communication" "NZ European" "Male" 3 2 0 1 1 0 0
"92" "Decile 1-3" "All Subjects" "Design and Visual Communication" "NZ European" "Female" 3 3 0 0 0 0 0
"93" "Decile 1-3" "All Subjects" "Design and Visual Communication" "NZ European" "Unknown" 0 0 0 0 0 0 0
"94" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"95" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Pasifika Peoples" "Female" 8 4 0 4 4 0 0
"96" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Asian" "Male" 2 1 0 1 1 0 0
"97" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Asian" "Female" 2 2 0 0 0 0 0
"98" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"99" "Decile 1-3" "All Subjects" "Design and Visual Communication" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"100" "Decile 1-3" "All Subjects" "Drama" "NZ Maori" "Male" 1 1 0 0 0 0 0
"101" "Decile 1-3" "All Subjects" "Drama" "NZ Maori" "Female" 2 0 0 2 0 2 0
"102" "Decile 1-3" "All Subjects" "Drama" "NZ European" "Male" 0 0 0 0 0 0 0
"103" "Decile 1-3" "All Subjects" "Drama" "NZ European" "Female" 4 2 0 2 2 0 0
"104" "Decile 1-3" "All Subjects" "Drama" "NZ European" "Unknown" 0 0 0 0 0 0 0
"105" "Decile 1-3" "All Subjects" "Drama" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"106" "Decile 1-3" "All Subjects" "Drama" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"107" "Decile 1-3" "All Subjects" "Drama" "Asian" "Male" 0 0 0 0 0 0 0
"108" "Decile 1-3" "All Subjects" "Drama" "Asian" "Female" 0 0 0 0 0 0 0
"109" "Decile 1-3" "All Subjects" "Drama" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"110" "Decile 1-3" "All Subjects" "Drama" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"111" "Decile 1-3" "All Subjects" "Economics" "NZ Maori" "Male" 1 0 0 1 1 0 0
"112" "Decile 1-3" "All Subjects" "Economics" "NZ Maori" "Female" 1 0 0 1 1 0 0
"113" "Decile 1-3" "All Subjects" "Economics" "NZ European" "Male" 2 0 0 2 1 1 0
"114" "Decile 1-3" "All Subjects" "Economics" "NZ European" "Female" 1 0 0 1 1 0 0
"115" "Decile 1-3" "All Subjects" "Economics" "NZ European" "Unknown" 0 0 0 0 0 0 0
"116" "Decile 1-3" "All Subjects" "Economics" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"117" "Decile 1-3" "All Subjects" "Economics" "Pasifika Peoples" "Female" 1 0 0 1 1 0 0
"118" "Decile 1-3" "All Subjects" "Economics" "Asian" "Male" 3 0 0 3 3 0 0
"119" "Decile 1-3" "All Subjects" "Economics" "Asian" "Female" 2 0 0 2 2 0 0
"120" "Decile 1-3" "All Subjects" "Economics" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"121" "Decile 1-3" "All Subjects" "Economics" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"122" "Decile 1-3" "All Subjects" "English" "NZ Maori" "Male" 0 0 0 0 0 0 0
"123" "Decile 1-3" "All Subjects" "English" "NZ Maori" "Female" 7 0 0 7 6 1 0
"124" "Decile 1-3" "All Subjects" "English" "NZ European" "Male" 8 1 0 7 7 0 0
"125" "Decile 1-3" "All Subjects" "English" "NZ European" "Female" 22 0 0 22 17 5 0
"126" "Decile 1-3" "All Subjects" "English" "NZ European" "Unknown" 0 0 0 0 0 0 0
"127" "Decile 1-3" "All Subjects" "English" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"128" "Decile 1-3" "All Subjects" "English" "Pasifika Peoples" "Female" 4 2 0 2 2 0 0
"129" "Decile 1-3" "All Subjects" "English" "Asian" "Male" 2 0 0 2 2 0 0
"130" "Decile 1-3" "All Subjects" "English" "Asian" "Female" 3 1 0 2 2 0 0
"131" "Decile 1-3" "All Subjects" "English" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"132" "Decile 1-3" "All Subjects" "English" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"133" "Decile 1-3" "All Subjects" "French" "NZ Maori" "Male" 0 0 0 0 0 0 0
"134" "Decile 1-3" "All Subjects" "French" "NZ Maori" "Female" 0 0 0 0 0 0 0
"135" "Decile 1-3" "All Subjects" "French" "NZ European" "Male" 2 0 0 2 1 0 1
"136" "Decile 1-3" "All Subjects" "French" "NZ European" "Female" 0 0 0 0 0 0 0
"137" "Decile 1-3" "All Subjects" "French" "NZ European" "Unknown" 0 0 0 0 0 0 0
"138" "Decile 1-3" "All Subjects" "French" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"139" "Decile 1-3" "All Subjects" "French" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"140" "Decile 1-3" "All Subjects" "French" "Asian" "Male" 0 0 0 0 0 0 0
"141" "Decile 1-3" "All Subjects" "French" "Asian" "Female" 0 0 0 0 0 0 0
"142" "Decile 1-3" "All Subjects" "French" "Other/Unspecified Ethnicity" "Male" 1 0 0 1 0 1 0
"143" "Decile 1-3" "All Subjects" "French" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"144" "Decile 1-3" "All Subjects" "Geography" "NZ Maori" "Male" 0 0 0 0 0 0 0
"145" "Decile 1-3" "All Subjects" "Geography" "NZ Maori" "Female" 0 0 0 0 0 0 0
"146" "Decile 1-3" "All Subjects" "Geography" "NZ European" "Male" 6 1 0 5 4 1 0
"147" "Decile 1-3" "All Subjects" "Geography" "NZ European" "Female" 7 0 0 7 6 1 0
"148" "Decile 1-3" "All Subjects" "Geography" "NZ European" "Unknown" 0 0 0 0 0 0 0
"149" "Decile 1-3" "All Subjects" "Geography" "Pasifika Peoples" "Male" 1 0 0 1 1 0 0
"150" "Decile 1-3" "All Subjects" "Geography" "Pasifika Peoples" "Female" 3 2 0 1 1 0 0
"151" "Decile 1-3" "All Subjects" "Geography" "Asian" "Male" 1 1 0 0 0 0 0
"152" "Decile 1-3" "All Subjects" "Geography" "Asian" "Female" 9 1 0 8 8 0 0
"153" "Decile 1-3" "All Subjects" "Geography" "Other/Unspecified Ethnicity" "Male" 1 0 0 1 1 0 0
"154" "Decile 1-3" "All Subjects" "Geography" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"155" "Decile 1-3" "All Subjects" "German" "NZ Maori" "Male" 0 0 0 0 0 0 0
"156" "Decile 1-3" "All Subjects" "German" "NZ Maori" "Female" 0 0 0 0 0 0 0
"157" "Decile 1-3" "All Subjects" "German" "NZ European" "Male" 0 0 0 0 0 0 0
"158" "Decile 1-3" "All Subjects" "German" "NZ European" "Female" 0 0 0 0 0 0 0
"159" "Decile 1-3" "All Subjects" "German" "NZ European" "Unknown" 0 0 0 0 0 0 0
"160" "Decile 1-3" "All Subjects" "German" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"161" "Decile 1-3" "All Subjects" "German" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"162" "Decile 1-3" "All Subjects" "German" "Asian" "Male" 0 0 0 0 0 0 0
"163" "Decile 1-3" "All Subjects" "German" "Asian" "Female" 0 0 0 0 0 0 0
"164" "Decile 1-3" "All Subjects" "German" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"165" "Decile 1-3" "All Subjects" "German" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"166" "Decile 1-3" "All Subjects" "Graphics" "NZ Maori" "Male" 0 0 0 0 0 0 0
"167" "Decile 1-3" "All Subjects" "Graphics" "NZ Maori" "Female" 0 0 0 0 0 0 0
"168" "Decile 1-3" "All Subjects" "Graphics" "NZ European" "Male" 1 0 1 0 0 0 0
"169" "Decile 1-3" "All Subjects" "Graphics" "NZ European" "Female" 0 0 0 0 0 0 0
"170" "Decile 1-3" "All Subjects" "Graphics" "NZ European" "Unknown" 0 0 0 0 0 0 0
"171" "Decile 1-3" "All Subjects" "Graphics" "Pasifika Peoples" "Male" 1 0 1 0 0 0 0
"172" "Decile 1-3" "All Subjects" "Graphics" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"173" "Decile 1-3" "All Subjects" "Graphics" "Asian" "Male" 3 0 1 2 2 0 0
"174" "Decile 1-3" "All Subjects" "Graphics" "Asian" "Female" 1 0 0 1 1 0 0
"175" "Decile 1-3" "All Subjects" "Graphics" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"176" "Decile 1-3" "All Subjects" "Graphics" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"177" "Decile 1-3" "All Subjects" "History" "NZ Maori" "Male" 3 0 0 3 3 0 0
"178" "Decile 1-3" "All Subjects" "History" "NZ Maori" "Female" 0 0 0 0 0 0 0
"179" "Decile 1-3" "All Subjects" "History" "NZ European" "Male" 10 2 2 6 5 1 0
"180" "Decile 1-3" "All Subjects" "History" "NZ European" "Female" 8 0 0 8 5 3 0
"181" "Decile 1-3" "All Subjects" "History" "NZ European" "Unknown" 0 0 0 0 0 0 0
"182" "Decile 1-3" "All Subjects" "History" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"183" "Decile 1-3" "All Subjects" "History" "Pasifika Peoples" "Female" 1 0 0 1 1 0 0
"184" "Decile 1-3" "All Subjects" "History" "Asian" "Male" 0 0 0 0 0 0 0
"185" "Decile 1-3" "All Subjects" "History" "Asian" "Female" 0 0 0 0 0 0 0
"186" "Decile 1-3" "All Subjects" "History" "Other/Unspecified Ethnicity" "Male" 1 1 0 0 0 0 0
"187" "Decile 1-3" "All Subjects" "History" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"188" "Decile 1-3" "All Subjects" "Japanese" "NZ Maori" "Male" 0 0 0 0 0 0 0
"189" "Decile 1-3" "All Subjects" "Japanese" "NZ Maori" "Female" 0 0 0 0 0 0 0
"190" "Decile 1-3" "All Subjects" "Japanese" "NZ European" "Male" 0 0 0 0 0 0 0
"191" "Decile 1-3" "All Subjects" "Japanese" "NZ European" "Female" 0 0 0 0 0 0 0
"192" "Decile 1-3" "All Subjects" "Japanese" "NZ European" "Unknown" 0 0 0 0 0 0 0
"193" "Decile 1-3" "All Subjects" "Japanese" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"194" "Decile 1-3" "All Subjects" "Japanese" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"195" "Decile 1-3" "All Subjects" "Japanese" "Asian" "Male" 0 0 0 0 0 0 0
"196" "Decile 1-3" "All Subjects" "Japanese" "Asian" "Female" 0 0 0 0 0 0 0
"197" "Decile 1-3" "All Subjects" "Japanese" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"198" "Decile 1-3" "All Subjects" "Japanese" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"199" "Decile 1-3" "All Subjects" "Latin" "NZ Maori" "Male" 0 0 0 0 0 0 0
"200" "Decile 1-3" "All Subjects" "Latin" "NZ Maori" "Female" 0 0 0 0 0 0 0
"201" "Decile 1-3" "All Subjects" "Latin" "NZ European" "Male" 0 0 0 0 0 0 0
"202" "Decile 1-3" "All Subjects" "Latin" "NZ European" "Female" 0 0 0 0 0 0 0
"203" "Decile 1-3" "All Subjects" "Latin" "NZ European" "Unknown" 0 0 0 0 0 0 0
"204" "Decile 1-3" "All Subjects" "Latin" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"205" "Decile 1-3" "All Subjects" "Latin" "Pasifika Peoples" "Female" 0 0 0 0 0 0 0
"206" "Decile 1-3" "All Subjects" "Latin" "Asian" "Male" 0 0 0 0 0 0 0
"207" "Decile 1-3" "All Subjects" "Latin" "Asian" "Female" 0 0 0 0 0 0 0
"208" "Decile 1-3" "All Subjects" "Latin" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"209" "Decile 1-3" "All Subjects" "Latin" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"210" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "NZ Maori" "Male" 1 0 0 1 1 0 0
"211" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "NZ Maori" "Female" 3 2 0 1 1 0 0
"212" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "NZ European" "Male" 11 3 0 8 4 3 1
"213" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "NZ European" "Female" 8 1 0 7 7 0 0
"214" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "NZ European" "Unknown" 0 0 0 0 0 0 0
"215" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"216" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Pasifika Peoples" "Female" 1 0 0 1 1 0 0
"217" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Asian" "Male" 14 3 0 11 9 2 0
"218" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Asian" "Female" 6 1 0 5 5 0 0
"219" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Other/Unspecified Ethnicity" "Male" 1 1 0 0 0 0 0
"220" "Decile 1-3" "All Subjects" "Mathematics with Calculus" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"221" "Decile 1-3" "All Subjects" "Media Studies" "NZ Maori" "Male" 0 0 0 0 0 0 0
"222" "Decile 1-3" "All Subjects" "Media Studies" "NZ Maori" "Female" 0 0 0 0 0 0 0
"223" "Decile 1-3" "All Subjects" "Media Studies" "NZ European" "Male" 3 1 0 2 2 0 0
"224" "Decile 1-3" "All Subjects" "Media Studies" "NZ European" "Female" 2 0 0 2 2 0 0
"225" "Decile 1-3" "All Subjects" "Media Studies" "NZ European" "Unknown" 0 0 0 0 0 0 0
"226" "Decile 1-3" "All Subjects" "Media Studies" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"227" "Decile 1-3" "All Subjects" "Media Studies" "Pasifika Peoples" "Female" 1 1 0 0 0 0 0
"228" "Decile 1-3" "All Subjects" "Media Studies" "Asian" "Male" 0 0 0 0 0 0 0
"229" "Decile 1-3" "All Subjects" "Media Studies" "Asian" "Female" 1 0 0 1 1 0 0
"230" "Decile 1-3" "All Subjects" "Media Studies" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"231" "Decile 1-3" "All Subjects" "Media Studies" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"232" "Decile 1-3" "All Subjects" "Music Studies" "NZ Maori" "Male" 2 1 0 1 1 0 0
"233" "Decile 1-3" "All Subjects" "Music Studies" "NZ Maori" "Female" 1 1 0 0 0 0 0
"234" "Decile 1-3" "All Subjects" "Music Studies" "NZ European" "Male" 1 0 0 1 1 0 0
"235" "Decile 1-3" "All Subjects" "Music Studies" "NZ European" "Female" 0 0 0 0 0 0 0
"236" "Decile 1-3" "All Subjects" "Music Studies" "NZ European" "Unknown" 0 0 0 0 0 0 0
"237" "Decile 1-3" "All Subjects" "Music Studies" "Pasifika Peoples" "Male" 2 1 0 1 1 0 0
"238" "Decile 1-3" "All Subjects" "Music Studies" "Pasifika Peoples" "Female" 1 0 0 1 1 0 0
"239" "Decile 1-3" "All Subjects" "Music Studies" "Asian" "Male" 0 0 0 0 0 0 0
"240" "Decile 1-3" "All Subjects" "Music Studies" "Asian" "Female" 0 0 0 0 0 0 0
"241" "Decile 1-3" "All Subjects" "Music Studies" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"242" "Decile 1-3" "All Subjects" "Music Studies" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"243" "Decile 1-3" "All Subjects" "Painting" "NZ Maori" "Male" 3 2 0 1 0 1 0
"244" "Decile 1-3" "All Subjects" "Painting" "NZ Maori" "Female" 9 3 0 6 6 0 0
"245" "Decile 1-3" "All Subjects" "Painting" "NZ European" "Male" 3 0 0 3 1 2 0
"246" "Decile 1-3" "All Subjects" "Painting" "NZ European" "Female" 12 5 0 7 6 1 0
"247" "Decile 1-3" "All Subjects" "Painting" "NZ European" "Unknown" 0 0 0 0 0 0 0
"248" "Decile 1-3" "All Subjects" "Painting" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
"249" "Decile 1-3" "All Subjects" "Painting" "Pasifika Peoples" "Female" 4 2 0 2 0 2 0
"250" "Decile 1-3" "All Subjects" "Painting" "Asian" "Male" 0 0 0 0 0 0 0
"251" "Decile 1-3" "All Subjects" "Painting" "Asian" "Female" 2 1 0 1 1 0 0
"252" "Decile 1-3" "All Subjects" "Painting" "Other/Unspecified Ethnicity" "Male" 0 0 0 0 0 0 0
"253" "Decile 1-3" "All Subjects" "Painting" "Other/Unspecified Ethnicity" "Female" 0 0 0 0 0 0 0
"254" "Decile 1-3" "All Subjects" "Photography" "NZ Maori" "Male" 1 0 0 1 1 0 0
"255" "Decile 1-3" "All Subjects" "Photography" "NZ Maori" "Female" 2 2 0 0 0 0 0
"256" "Decile 1-3" "All Subjects" "Photography" "NZ European" "Male" 3 2 0 1 1 0 0
"257" "Decile 1-3" "All Subjects" "Photography" "NZ European" "Female" 7 3 0 4 2 2 0
"258" "Decile 1-3" "All Subjects" "Photography" "NZ European" "Unknown" 0 0 0 0 0 0 0
"259" "Decile 1-3" "All Subjects" "Photography" "Pasifika Peoples" "Male" 0 0 0 0 0 0 0
