"UNKNOWN" "UNKNOWN" "UNKNOWN" "Persons Employed in Labour Force" "Persons Unemployed in Labour Force" "Not in Labour Force" "Working Age Population" "Labour Force Participation Rate" "Unemployment Rate" "Employment Rate" "Total Labour Force"
"34" "Male" "Maori Only" "2010Q3" 69.8 13.5 34.1 117.3 71 16.2 59.5 83.3
"35" "Male" "Maori Only" "2010Q4" 70.7 14.4 36.4 121.5 70 16.9 58.2 85.1
"36" "Male" "Maori Only" "2011Q1" 70.7 13.9 35.3 119.8 70.6 16.4 59 84.6
"37" "Male" "Maori Only" "2011Q2" 67.1 10.5 37.1 114.7 67.6 13.5 58.5 77.6
"38" "Male" "Maori Only" "2011Q3" 69.5 13.4 34.9 117.8 70.4 16.1 59 82.9
"39" "Male" "Maori Only" "2011Q4" 69.2 12.7 36.1 118 69.4 15.5 58.6 81.8
"40" "Male" "Maori Only" "2012Q1" 71.5 11.2 34.6 117.3 70.5 13.6 60.9 82.7
"41" "Male" "Maori Only" "2012Q2" 66.2 10.6 33 109.7 69.9 13.8 60.3 76.8
"42" "Male" "Maori Only" "2012Q3" 67.1 13.1 33 113.2 70.8 16.4 59.2 80.2
"43" "Male" "Maori Only" "2012Q4" 63 12.3 35.4 110.7 68 16.3 56.9 75.3
"44" "Male" "Maori Only" "2013Q1" 69.9 12.2 38.2 120.3 68.3 14.9 58.1 82.2
"45" "Male" "Pacific Peoples Only" "2007Q4" 42.8 1.5 18.9 63.2 70.1 3.5 67.7 44.3
"46" "Male" "Pacific Peoples Only" "2008Q1" 41.1 3.4 18.1 62.6 71.1 7.6 65.6 44.5
"47" "Male" "Pacific Peoples Only" "2008Q2" 42.2 2.4 18 62.5 71.2 5.3 67.4 44.5
"48" "Male" "Pacific Peoples Only" "2008Q3" 45.2 3.3 19.4 67.9 71.5 6.9 66.6 48.6
"49" "Male" "Pacific Peoples Only" "2008Q4" 47.7 3.3 17.5 68.4 74.5 6.4 69.7 51
"50" "Male" "Pacific Peoples Only" "2009Q1" 41.9 7.3 18.4 67.6 72.8 14.8 62 49.2
"51" "Male" "Pacific Peoples Only" "2009Q2" 42.3 5.3 19 66.6 71.5 11.1 63.6 47.6
"52" "Male" "Pacific Peoples Only" "2009Q3" 39.6 5.1 21.2 65.9 67.9 11.5 60.1 44.7
"53" "Male" "Pacific Peoples Only" "2009Q4" 40.9 6.7 20.4 67.9 70 14 60.2 47.6
"54" "Male" "Pacific Peoples Only" "2010Q1" 43.7 6.9 21.8 72.4 69.9 13.6 60.3 50.6
"55" "Male" "Pacific Peoples Only" "2010Q2" 39.1 6.1 21.8 67 67.5 13.6 58.4 45.2
"56" "Male" "Pacific Peoples Only" "2010Q3" 41.8 5.2 20.9 67.9 69.2 11.1 61.5 47
"57" "Male" "Pacific Peoples Only" "2010Q4" 45.3 6.2 23.2 74.7 68.9 12.1 60.6 51.5
"58" "Male" "Pacific Peoples Only" "2011Q1" 46.8 7.3 21.9 76 71.2 13.6 61.6 54.1
"59" "Male" "Pacific Peoples Only" "2011Q2" 41.3 5.8 23.8 71 66.4 12.3 58.3 47.1
"60" "Male" "Pacific Peoples Only" "2011Q3" 49.2 7.3 27 83.5 67.6 12.9 58.9 56.5
"61" "Male" "Pacific Peoples Only" "2011Q4" 48.2 6.8 24.8 79.9 68.9 12.4 60.3 55
"62" "Male" "Pacific Peoples Only" "2012Q1" 43.3 6 24.3 73.7 67.1 12.2 58.8 49.4
"63" "Male" "Pacific Peoples Only" "2012Q2" 40.6 5.5 23.8 69.9 66 12 58 46.1
"64" "Male" "Pacific Peoples Only" "2012Q3" 41.8 5.4 22 69.2 68.2 11.5 60.3 47.2
"65" "Male" "Pacific Peoples Only" "2012Q4" 39.9 4.7 22.2 66.8 66.8 10.6 59.7 44.6
"66" "Male" "Pacific Peoples Only" "2013Q1" 41.8 5.1 20.1 67 70 10.8 62.5 46.9
"67" "Male" "Asian Only" "2007Q4" 95.9 5.2 32.2 133.2 75.9 5.1 72 101.1
"68" "Male" "Asian Only" "2008Q1" 90.9 3.8 36.4 131.2 72.2 4.1 69.3 94.8
"69" "Male" "Asian Only" "2008Q2" 98.3 4.2 44.5 146.9 69.7 4.1 66.9 102.5
"70" "Male" "Asian Only" "2008Q3" 101.3 3.8 41 146 71.9 3.6 69.3 105
"71" "Male" "Asian Only" "2008Q4" 106.4 6.2 33.9 146.6 76.9 5.5 72.6 112.7
"72" "Male" "Asian Only" "2009Q1" 99.7 6.6 40.1 146.4 72.6 6.2 68.1 106.3
"73" "Male" "Asian Only" "2009Q2" 109.9 8.3 42.2 160.3 73.7 7 68.5 118.1
"74" "Male" "Asian Only" "2009Q3" 108.2 10 48.1 166.3 71.1 8.4 65.1 118.2
"75" "Male" "Asian Only" "2009Q4" 116.6 11.6 42.3 170.6 75.2 9 68.4 128.2
"76" "Male" "Asian Only" "2010Q1" 114.7 10.9 43.8 169.5 74.1 8.7 67.7 125.6
"77" "Male" "Asian Only" "2010Q2" 112.4 13.5 39.3 165.2 76.2 10.7 68.1 125.9
"78" "Male" "Asian Only" "2010Q3" 106.8 9.9 44.4 161.1 72.5 8.5 66.3 116.7
"79" "Male" "Asian Only" "2010Q4" 112.8 9.3 41.8 163.9 74.5 7.6 68.8 122.1
"80" "Male" "Asian Only" "2011Q1" 121 13.2 38.5 172.7 77.7 9.8 70.1 134.2
"81" "Male" "Asian Only" "2011Q2" 111.6 8 47.6 167.1 71.5 6.7 66.8 119.6
"82" "Male" "Asian Only" "2011Q3" 113.4 8.6 46.5 168.4 72.4 7 67.3 121.9
"83" "Male" "Asian Only" "2011Q4" 117.7 14.1 41.7 173.5 76 10.7 67.8 131.9
"84" "Male" "Asian Only" "2012Q1" 116.7 10.4 37 164.2 77.5 8.2 71.1 127.2
"85" "Male" "Asian Only" "2012Q2" 111.9 9.2 45.6 166.6 72.7 7.6 67.1 121
"86" "Male" "Asian Only" "2012Q3" 118 16.6 45.6 180.1 74.7 12.3 65.5 134.6
"87" "Male" "Asian Only" "2012Q4" 123.8 8.6 47 179.4 73.8 6.5 69 132.4
"88" "Male" "Asian Only" "2013Q1" 136.9 7 51.1 195 73.8 4.9 70.2 143.9
"89" "Male" "MELAA Only" "2007Q4" 9.8 NA 3.5 14.2 75 NA 69 10.6
"90" "Male" "MELAA Only" "2008Q1" 9.3 NA 4.9 14.7 66.4 NA 63.1 9.8
"91" "Male" "MELAA Only" "2008Q2" 9.6 2 3.3 14.9 77.7 17.2 64.4 11.6
"92" "Male" "MELAA Only" "2008Q3" 8.1 NA 6.7 15.5 57.1 NA 52.2 8.9
"93" "Male" "MELAA Only" "2008Q4" 8.4 NA 4.7 13.7 66 NA 61.3 9
"94" "Male" "MELAA Only" "2009Q1" 8.1 NA 5 14.1 64.7 NA 57.9 9.1
"95" "Male" "MELAA Only" "2009Q2" 9.5 1.4 6.2 17.1 64 13.2 55.6 10.9
"96" "Male" "MELAA Only" "2009Q3" 9.2 NA 5.7 15.9 64 NA 57.9 10.2
"97" "Male" "MELAA Only" "2009Q4" 8.1 1.3 4.1 13.5 69.6 14.2 59.8 9.4
"98" "Male" "MELAA Only" "2010Q1" 9.9 1.5 4.5 16 71.5 13.1 62.2 11.4
"99" "Male" "MELAA Only" "2010Q2" 9.7 NA 6.5 17.1 61.8 NA 56.8 10.5
"100" "Male" "MELAA Only" "2010Q3" 10.2 1.1 7.5 18.8 60.2 10.1 54.2 11.3
"101" "Male" "MELAA Only" "2010Q4" 8.9 NA 5 14.9 66.5 NA 59.9 9.9
"102" "Male" "MELAA Only" "2011Q1" 9.1 NA 4.6 14.7 68.3 NA 61.8 10
"103" "Male" "MELAA Only" "2011Q2" 11.2 1.2 5.3 17.7 70 9.5 63.3 12.4
"104" "Male" "MELAA Only" "2011Q3" 11.1 1.2 5.4 17.7 69.7 9.8 62.9 12.3
"105" "Male" "MELAA Only" "2011Q4" 11 1.1 3.4 15.5 78.4 9.1 71.2 12.2
"106" "Male" "MELAA Only" "2012Q1" 10.2 NA 4.5 15.6 71.4 NA 65.3 11.1
"107" "Male" "MELAA Only" "2012Q2" 11.5 NA 4.7 17.1 72.7 NA 67.5 12.4
"108" "Male" "MELAA Only" "2012Q3" 10.9 NA 2.6 14.6 82 NA 75.1 11.9
"109" "Male" "MELAA Only" "2012Q4" 10.2 1.1 3.3 14.6 77.4 9.3 70.2 11.3
"110" "Male" "MELAA Only" "2013Q1" 8.2 1.3 3.6 13.1 72.6 13.8 62.6 9.5
"111" "Male" "Other Ethnicity Only" "2007Q4" 5.9 NA 1.1 7.2 84.1 NA 82 6.1
"112" "Male" "Other Ethnicity Only" "2008Q1" 6.8 NA 1.9 9.2 79.8 NA 74.5 7.3
"113" "Male" "Other Ethnicity Only" "2008Q2" 11.2 NA 2.9 14.6 80 NA 77.1 11.6
"114" "Male" "Other Ethnicity Only" "2008Q3" 10.5 NA 4.1 14.7 71.9 NA 71.5 10.6
"115" "Male" "Other Ethnicity Only" "2008Q4" 13.5 NA 4.1 18.1 77.1 NA 74.9 14
"116" "Male" "Other Ethnicity Only" "2009Q1" 16.6 NA 5.4 22.3 75.6 NA 74.4 16.9
"117" "Male" "Other Ethnicity Only" "2009Q2" 19 NA 5.5 25.2 78 NA 75.6 19.6
"118" "Male" "Other Ethnicity Only" "2009Q3" 19.3 NA 6.9 26.9 74.3 NA 71.7 19.9
"119" "Male" "Other Ethnicity Only" "2009Q4" 18.7 NA 7.9 27.2 71.1 NA 68.7 19.4
"120" "Male" "Other Ethnicity Only" "2010Q1" 20.6 NA 9.1 30.6 70.3 NA 67.3 21.5
"121" "Male" "Other Ethnicity Only" "2010Q2" 22.6 NA 9.1 32.5 71.8 NA 69.7 23.3
"122" "Male" "Other Ethnicity Only" "2010Q3" 26.6 NA 8.9 36.4 75.5 NA 73 27.5
"123" "Male" "Other Ethnicity Only" "2010Q4" 24.9 1.1 9.5 35.5 73.2 4.2 70.2 26
"124" "Male" "Other Ethnicity Only" "2011Q1" 22.8 NA 9.5 33.2 71.3 NA 68.8 23.7
"125" "Male" "Other Ethnicity Only" "2011Q2" 23.3 NA 10.1 34.4 70.7 NA 67.8 24.3
"126" "Male" "Other Ethnicity Only" "2011Q3" 22.9 NA 11.1 34.5 67.8 2.1 66.3 23.4
"127" "Male" "Other Ethnicity Only" "2011Q4" 20.9 1.2 10 32.2 68.9 5.5 65.1 22.2
"128" "Male" "Other Ethnicity Only" "2012Q1" 22 1.1 9.9 33 70 4.9 66.5 23.1
"129" "Male" "Other Ethnicity Only" "2012Q2" 23.4 1.3 9.9 34.6 71.3 5.4 67.5 24.7
"130" "Male" "Other Ethnicity Only" "2012Q3" 18.8 1.4 10.7 31 65.3 6.9 60.8 20.2
"131" "Male" "Other Ethnicity Only" "2012Q4" 21.3 NA 10.4 32.6 68.2 NA 65.4 22.2
"132" "Male" "Other Ethnicity Only" "2013Q1" 22.9 NA 11 34.5 68.2 NA 66.3 23.5
"133" "Male" "European/Maori" "2007Q4" 60.1 4.7 13.9 78.8 82.4 7.3 76.4 64.9
"134" "Male" "European/Maori" "2008Q1" 56.9 4.4 19.6 80.9 75.8 7.2 70.3 61.3
"135" "Male" "European/Maori" "2008Q2" 64.3 5.2 18.9 88.4 78.6 7.5 72.7 69.5
"136" "Male" "European/Maori" "2008Q3" 57.2 4.6 18.2 80 77.3 7.5 71.5 61.8
"137" "Male" "European/Maori" "2008Q4" 57.9 4 17.2 79.2 78.2 6.4 73.2 61.9
"138" "Male" "European/Maori" "2009Q1" 49.2 6.3 17 72.4 76.6 11.3 67.9 55.4
"139" "Male" "European/Maori" "2009Q2" 51 6.7 16.9 74.5 77.4 11.6 68.4 57.7
"140" "Male" "European/Maori" "2009Q3" 51.8 5.4 16.2 73.3 78 9.4 70.6 57.2
"141" "Male" "European/Maori" "2009Q4" 48 7.6 17.5 73.1 76.1 13.6 65.7 55.6
"142" "Male" "European/Maori" "2010Q1" 50.6 6.2 17 73.8 77 10.9 68.6 56.8
"143" "Male" "European/Maori" "2010Q2" 51.1 4.6 18.8 74.5 74.8 8.2 68.7 55.7
"144" "Male" "European/Maori" "2010Q3" 53.7 5.4 18.4 77.6 76.3 9.1 69.3 59.1
"145" "Male" "European/Maori" "2010Q4" 51.9 5.3 17.8 75 76.3 9.3 69.2 57.2
"146" "Male" "European/Maori" "2011Q1" 52 5.4 19.3 76.8 74.9 9.5 67.8 57.5
"147" "Male" "European/Maori" "2011Q2" 57.2 5.2 20.9 83.3 74.9 8.3 68.7 62.4
"148" "Male" "European/Maori" "2011Q3" 55.7 6.7 18.8 81.1 76.8 10.7 68.6 62.3
"149" "Male" "European/Maori" "2011Q4" 54.9 7.4 18.4 80.6 77.2 11.8 68.1 62.2
"150" "Male" "European/Maori" "2012Q1" 55.1 6.3 17.6 78.9 77.7 10.3 69.7 61.4
"151" "Male" "European/Maori" "2012Q2" 60.7 7.4 19.4 87.5 77.8 10.9 69.4 68.1
"152" "Male" "European/Maori" "2012Q3" 55.2 7.5 22.2 84.9 73.9 11.9 65.1 62.7
"153" "Male" "European/Maori" "2012Q4" 57.2 6.9 22.7 86.8 73.9 10.8 65.9 64.1
"154" "Male" "European/Maori" "2013Q1" 54.7 6.8 19.6 81.1 75.8 11 67.5 61.5
"155" "Male" "Two or More Groups Not Elsewhere Included" "2007Q4" 28.2 1.2 7.1 36.5 80.5 4 77.3 29.3
"156" "Male" "Two or More Groups Not Elsewhere Included" "2008Q1" 17 1.6 5.4 24 77.6 8.7 70.9 18.6
"157" "Male" "Two or More Groups Not Elsewhere Included" "2008Q2" 17.2 NA 5.5 23.5 76.7 4.8 73 18
"158" "Male" "Two or More Groups Not Elsewhere Included" "2008Q3" 18.1 NA 5 23.7 79 3.1 76.6 18.7
"159" "Male" "Two or More Groups Not Elsewhere Included" "2008Q4" 17.6 1.2 4.5 23.3 80.7 6.5 75.5 18.8
"160" "Male" "Two or More Groups Not Elsewhere Included" "2009Q1" 16.3 2.4 5.8 24.5 76.2 12.6 66.6 18.7
"161" "Male" "Two or More Groups Not Elsewhere Included" "2009Q2" 16.7 1.1 8.8 26.6 66.8 6 62.8 17.8
"162" "Male" "Two or More Groups Not Elsewhere Included" "2009Q3" 15.9 3 9 28 67.9 16 57 19
"163" "Male" "Two or More Groups Not Elsewhere Included" "2009Q4" 17.2 3.3 8 28.5 71.9 16.2 60.3 20.5
"164" "Male" "Two or More Groups Not Elsewhere Included" "2010Q1" 19.8 2.4 8.2 30.4 72.9 10.6 65.1 22.2
"165" "Male" "Two or More Groups Not Elsewhere Included" "2010Q2" 15.9 2.8 8.6 27.3 68.5 15 58.2 18.7
"166" "Male" "Two or More Groups Not Elsewhere Included" "2010Q3" 18.3 2.4 9.4 30.1 68.8 11.7 60.7 20.7
"167" "Male" "Two or More Groups Not Elsewhere Included" "2010Q4" 17.5 3.2 8.5 29.1 71 15.4 60 20.7
"168" "Male" "Two or More Groups Not Elsewhere Included" "2011Q1" 18.5 4.1 10.3 33 68.7 18.1 56.2 22.6
"169" "Male" "Two or More Groups Not Elsewhere Included" "2011Q2" 17.8 4.2 9.2 31.1 70.6 19.3 57 22
"170" "Male" "Two or More Groups Not Elsewhere Included" "2011Q3" 19.3 3.7 9.7 32.6 70.3 16.1 59 22.9
"171" "Male" "Two or More Groups Not Elsewhere Included" "2011Q4" 20.2 3.5 8.8 32.6 72.8 14.9 62 23.7
"172" "Male" "Two or More Groups Not Elsewhere Included" "2012Q1" 22.8 4.8 8.9 36.6 75.6 17.4 62.4 27.6
"173" "Male" "Two or More Groups Not Elsewhere Included" "2012Q2" 21.9 3.5 11.4 36.8 69 13.6 59.6 25.4
"174" "Male" "Two or More Groups Not Elsewhere Included" "2012Q3" 19 4.6 13.4 36.9 63.8 19.6 51.3 23.6
"175" "Male" "Two or More Groups Not Elsewhere Included" "2012Q4" 22.1 3.9 12.7 38.7 67.1 14.9 57.1 26
"176" "Male" "Two or More Groups Not Elsewhere Included" "2013Q1" 19.6 2.7 11.7 34 65.5 12 57.6 22.2
"177" "Male" "Residual Categories" "2007Q4" 7.3 NA 1.7 9.3 81.8 NA 77.7 7.6
"178" "Male" "Residual Categories" "2008Q1" 4.1 NA 2.6 6.9 62.4 NA 59.1 4.3
"179" "Male" "Residual Categories" "2008Q2" 2.7 NA 3 5.7 46.8 NA 46.8 2.7
"180" "Male" "Residual Categories" "2008Q3" 2.9 NA NA 3.3 88.8 NA 88.8 2.9
"181" "Male" "Residual Categories" "2008Q4" 1.6 NA NA 2.2 81.6 NA 75.7 1.8
"182" "Male" "Residual Categories" "2009Q1" 2.2 NA NA 3.1 88.9 NA 69.4 2.8
"183" "Male" "Residual Categories" "2009Q2" 1.9 NA NA 2.3 NA NA 79.8 1.9
"184" "Male" "Residual Categories" "2009Q3" 1.3 NA NA 2 67.3 NA 67.3 1.3
"185" "Male" "Residual Categories" "2009Q4" 1.7 NA NA 2.3 NA NA 76.5 1.8
"186" "Male" "Residual Categories" "2010Q1" 3 NA NA 3.9 NA NA 77.9 3
"187" "Male" "Residual Categories" "2010Q2" 2.8 NA NA 3.9 NA NA 71.8 3.4
"188" "Male" "Residual Categories" "2010Q3" 1.3 NA NA 2.2 NA NA 57.8 1.5
"189" "Male" "Residual Categories" "2010Q4" 2.7 NA NA 3.7 NA NA 70.9 2.8
"190" "Male" "Residual Categories" "2011Q1" 5.7 NA 1.6 7.7 79.9 NA 74.4 6.2
"191" "Male" "Residual Categories" "2011Q2" 3.7 NA 1.1 5.3 80.1 NA 70.6 4.2
"192" "Male" "Residual Categories" "2011Q3" 4.2 NA NA 5.4 84.8 8.8 77.3 4.6
"193" "Male" "Residual Categories" "2011Q4" 3.4 NA 1.5 5.1 71 NA 66.9 3.6
"194" "Male" "Residual Categories" "2012Q1" 5.1 NA 1.7 7.4 76.8 NA 69.6 5.7
"195" "Male" "Residual Categories" "2012Q2" 2.8 NA NA 4.1 90.3 NA 69.5 3.7
"196" "Male" "Residual Categories" "2012Q3" 1.6 NA NA 2.4 73.3 NA 66.6 1.8
"197" "Male" "Residual Categories" "2012Q4" 2.6 NA 1.2 4 69.4 NA 64.8 2.8
"198" "Male" "Residual Categories" "2013Q1" 3.2 NA 1.1 4.4 74.7 NA 72 3.3
"199" "Male" "Total All Ethnic Groups" "2007Q4" 1176.9 40.1 386.6 1603.6 75.9 3.3 73.4 1217
"200" "Male" "Total All Ethnic Groups" "2008Q1" 1158.3 47.4 403.7 1609.4 74.9 3.9 72 1205.7
"201" "Male" "Total All Ethnic Groups" "2008Q2" 1162.7 46.6 404.2 1613.5 74.9 3.9 72.1 1209.3
"202" "Male" "Total All Ethnic Groups" "2008Q3" 1154.7 51.5 411.4 1617.6 74.6 4.3 71.4 1206.2
"203" "Male" "Total All Ethnic Groups" "2008Q4" 1184.1 53.8 385.5 1623.4 76.3 4.3 72.9 1237.9
"204" "Male" "Total All Ethnic Groups" "2009Q1" 1154.4 68.2 407.1 1629.7 75 5.6 70.8 1222.6
"205" "Male" "Total All Ethnic Groups" "2009Q2" 1156 68.2 411.8 1636.1 74.8 5.6 70.7 1224.2
"206" "Male" "Total All Ethnic Groups" "2009Q3" 1129.5 78.6 434.1 1642.2 73.6 6.5 68.8 1208.2
"207" "Male" "Total All Ethnic Groups" "2009Q4" 1154.1 84.8 410.8 1649.7 75.1 6.8 70 1238.9
"208" "Male" "Total All Ethnic Groups" "2010Q1" 1156.7 76.5 423.9 1657.1 74.4 6.2 69.8 1233.2
"209" "Male" "Total All Ethnic Groups" "2010Q2" 1150.9 82.7 428.3 1661.9 74.2 6.7 69.3 1233.6
"210" "Male" "Total All Ethnic Groups" "2010Q3" 1165.4 69.7 431.4 1666.5 74.1 5.6 69.9 1235.1
"211" "Male" "Total All Ethnic Groups" "2010Q4" 1172.8 80.2 420.2 1673.1 74.9 6.4 70.1 1252.9
"212" "Male" "Total All Ethnic Groups" "2011Q1" 1176.3 82.9 422.2 1681.4 74.9 6.6 70 1259.2
"213" "Male" "Total All Ethnic Groups" "2011Q2" 1172 77.3 434.1 1683.3 74.2 6.2 69.6 1249.2
"214" "Male" "Total All Ethnic Groups" "2011Q3" 1175.7 76.3 434.4 1686.4 74.2 6.1 69.7 1252
"215" "Male" "Total All Ethnic Groups" "2011Q4" 1187.4 81.9 422.2 1691.4 75 6.5 70.2 1269.3
"216" "Male" "Total All Ethnic Groups" "2012Q1" 1189.8 84.7 421.2 1695.7 75.2 6.6 70.2 1274.5
"217" "Male" "Total All Ethnic Groups" "2012Q2" 1176.2 77.4 444.7 1698.2 73.8 6.2 69.3 1253.5
"218" "Male" "Total All Ethnic Groups" "2012Q3" 1165.4 87.8 448.5 1701.6 73.6 7 68.5 1253.1
"219" "Male" "Total All Ethnic Groups" "2012Q4" 1173.6 79.6 453.1 1706.2 73.4 6.3 68.8 1253.1
"220" "Male" "Total All Ethnic Groups" "2013Q1" 1189.2 71.6 451 1711.8 73.7 5.7 69.5 1260.8
"221" "Female" "European Only" "2007Q4" 763.3 16.6 441.6 1221.6 63.8 2.1 62.5 780
"222" "Female" "European Only" "2008Q1" 737.5 24.5 456.5 1218.5 62.5 3.2 60.5 762
"223" "Female" "European Only" "2008Q2" 744.6 19.8 442.5 1206.9 63.3 2.6 61.7 764.4
"224" "Female" "European Only" "2008Q3" 746.3 21.5 439.2 1207 63.6 2.8 61.8 767.9
"225" "Female" "European Only" "2008Q4" 754.8 23.6 437.1 1215.4 64 3 62.1 778.4
"226" "Female" "European Only" "2009Q1" 735.5 29.6 441.3 1206.5 63.4 3.9 61 765.1
"227" "Female" "European Only" "2009Q2" 735 31.2 447 1213.1 63.2 4.1 60.6 766.2
"228" "Female" "European Only" "2009Q3" 736.8 31.3 436.3 1204.4 63.8 4.1 61.2 768.1
"229" "Female" "European Only" "2009Q4" 740.1 35.5 432.3 1207.9 64.2 4.6 61.3 775.6
"230" "Female" "European Only" "2010Q1" 733.9 34.6 442.2 1210.6 63.5 4.5 60.6 768.5
"231" "Female" "European Only" "2010Q2" 739.7 31.9 440.4 1212 63.7 4.1 61 771.6
"232" "Female" "European Only" "2010Q3" 731.2 38.8 439 1209 63.7 5 60.5 770
"233" "Female" "European Only" "2010Q4" 734.6 36.1 438.2 1208.9 63.8 4.7 60.8 770.7
"234" "Female" "European Only" "2011Q1" 727.7 43.4 430 1201.1 64.2 5.6 60.6 771.1
"235" "Female" "European Only" "2011Q2" 734.8 36.4 441.7 1212.9 63.6 4.7 60.6 771.2
"236" "Female" "European Only" "2011Q3" 730.9 36 435.8 1202.7 63.8 4.7 60.8 766.9
"237" "Female" "European Only" "2011Q4" 750 32.6 430 1212.6 64.5 4.2 61.8 782.6
"238" "Female" "European Only" "2012Q1" 737.8 39 431.7 1208.4 64.3 5 61.1 776.8
"239" "Female" "European Only" "2012Q2" 750.5 39.1 429.6 1219.2 64.8 5 61.6 789.6
"240" "Female" "European Only" "2012Q3" 739.2 40 432 1211.2 64.3 5.1 61 779.2
"241" "Female" "European Only" "2012Q4" 731.9 36.2 448.7 1216.8 63.1 4.7 60.2 768.1
"242" "Female" "European Only" "2013Q1" 739.2 41.7 425.1 1205.9 64.8 5.3 61.3 780.8
"243" "Female" "Maori Only" "2007Q4" 62.7 6.5 49.2 118.4 58.4 9.4 53 69.2
"244" "Female" "Maori Only" "2008Q1" 60.5 7.3 54.9 122.8 55.3 10.8 49.3 67.9
"245" "Female" "Maori Only" "2008Q2" 59 5.4 47.1 111.5 57.8 8.4 52.9 64.4
"246" "Female" "Maori Only" "2008Q3" 62 5.6 50.5 118 57.2 8.2 52.5 67.5
"247" "Female" "Maori Only" "2008Q4" 65.7 6.9 46.8 119.3 60.8 9.5 55 72.5
"248" "Female" "Maori Only" "2009Q1" 65.4 8.4 51.9 125.6 58.7 11.4 52 73.8
"249" "Female" "Maori Only" "2009Q2" 61.7 9.7 51.4 122.8 58.2 13.6 50.3 71.4
"250" "Female" "Maori Only" "2009Q3" 61.1 10.9 53.2 125.1 57.5 15.1 48.8 72
"251" "Female" "Maori Only" "2009Q4" 65.4 11.4 53.1 129.9 59.1 14.8 50.4 76.8
"252" "Female" "Maori Only" "2010Q1" 66.3 11.5 52.8 130.5 59.6 14.8 50.8 77.8
